County Name,State Fiscal Year,Ticket Sales,Prizes Paid,Retailer Commissions,FIPS County Code,Latitude,Longitude,Georeferenced Latitude & Longitude
Columbia,2016-2017,23801851,16166823,1291823,42037,41.04912086,-76.4100218,POINT (-76.4100218 41.04912086)
Greene,2011-2012,11354903,7043066,605089,42059,39.85480393,-80.22943817,POINT (-80.22943817 39.85480393)
Clearfield,2013-2014,27727395,17770623,1497641,42033,41.000429,-78.47558343,POINT (-78.47558343 41.000429)
Beaver,2012-2013,47905249,31218598,2537138,42007,40.68349245,-80.35107356,POINT (-80.35107356 40.68349245)
Berks,2016-2017,117697822,77591310,6243842,42011,40.41939635,-75.93077327,POINT (-75.93077327 40.41939635)
Montgomery,2010-2011,152323807,97106365,7968304,42091,40.20989874,-75.37252001,POINT (-75.37252001 40.20989874)
Dauphin,2011-2012,83522312,46725831,4391961,42043,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
Cumberland,2012-2013,61831317,40262745,3307101,42041,40.16759839,-77.26866271,POINT (-77.26866271 40.16759839)
Armstrong,2011-2012,26979510,17413184,1451029,42005,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Montour,2018-2019,6516535,6319195,369078,42093,41.02801824,-76.66470527,POINT (-76.66470527 41.02801824)
Huntingdon,2012-2013,8930509,5801546,479560,42061,40.416105,-77.9827661,POINT (-77.9827661 40.416105)
Mckean,2014-2015,12609496,8870351,683627,42083,41.81037074,-78.5712202,POINT (-78.5712202 41.81037074)
Wyoming,2010-2011,4370506,2639155,233325,42131,41.51892488,-76.01813003,POINT (-76.01813003 41.51892488)
Venango,2016-2017,18049364,11474958,964058,42121,41.40341259,-79.76286561,POINT (-79.76286561 41.40341259)
Juniata,2018-2019,6223492,7628875,362943,42067,40.53433008,-77.405775,POINT (-77.405775 40.53433008)
Elk,2012-2013,11339885,9170527,621910,42047,41.42819416,-78.64947713,POINT (-78.64947713 41.42819416)
Lawrence,2013-2014,38202038,23747010,2049142,42073,40.99325035,-80.33754114,POINT (-80.33754114 40.99325035)
Cameron,2018-2019,2673922,1728494,160236,42023,41.43880265,-78.20916932,POINT (-78.20916932 41.43880265)
Forest,2015-2016,2269065,1291608,121013,42053,41.51357876,-79.23780995,POINT (-79.23780995 41.51357876)
Forest,2018-2019,2120726,1195772,122570,42053,41.51357876,-79.23780995,POINT (-79.23780995 41.51357876)
Adams,2014-2015,18952118,11129184,1011393,42001,39.87209565,-77.22224271,POINT (-77.22224271 39.87209565)
Jefferson,2016-2017,15763946,10300987,843514,42065,41.13139091,-79.00101814,POINT (-79.00101814 41.13139091)
Chester,2010-2011,72528153,39912061,3796951,42029,39.97487056,-75.75626498,POINT (-75.75626498 39.97487056)
Clarion,2011-2012,11509169,7453759,618412,42031,41.19279129,-79.42483608,POINT (-79.42483608 41.19279129)
Lebanon,2018-2019,39059603,25983756,2263050,42075,40.367597,-76.46182575,POINT (-76.46182575 40.367597)
Snyder,2013-2014,9917914,5944861,536303,42109,40.77113737,-77.07255968,POINT (-77.07255968 40.77113737)
Greene,2017-2018,12349576,7475296,657454,42059,39.85480393,-80.22943817,POINT (-80.22943817 39.85480393)
Luzerne,2017-2018,141867815,96580671,7639255,42079,41.17836439,-75.9919961,POINT (-75.9919961 41.17836439)
Bucks,2017-2018,181659751,111869571,9683750,42017,40.33501133,-75.11291241,POINT (-75.11291241 40.33501133)
Dauphin,2016-2017,101624420,65035978,5357586,42043,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
Northumberland,2015-2016,38530175,24015696,2151841,42097,40.85150926,-76.71188423,POINT (-76.71188423 40.85150926)
Philadelphia,2016-2017,544060910,326653238,28187039,42101,40.00444354,-75.140236,POINT (-75.140236 40.00444354)
Monroe,2014-2015,45823676,25539892,2415613,42089,41.06091787,-75.34083603,POINT (-75.34083603 41.06091787)
Susquehanna,2011-2012,13138520,7569092,698052,42115,41.8205686,-75.80250303,POINT (-75.80250303 41.8205686)
Cambria,2014-2015,65096803,41287815,3504487,42021,40.49127491,-78.71894174,POINT (-78.71894174 40.49127491)
Indiana,2014-2015,24023313,18622048,1300280,42063,40.65295497,-79.09333493,POINT (-79.09333493 40.65295497)
Montour,2011-2012,6514016,3651225,347487,42093,41.02801824,-76.66470527,POINT (-76.66470527 41.02801824)
